$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1843.2780,1.0000,105.0370,4.0000,83.3730,2.2168,0.3901,2.2239
1843.4304,1.0000,105.8683,4.0000,86.4530,2.1677,0.3892,2.2370
1843.5828,1.0000,107.3090,4.0000,86.2100,2.1201,0.3997,2.2486
1843.7352,1.0000,110.2296,4.0000,84.3420,2.0725,0.4238,2.2316
1843.8876,1.0000,114.1029,4.0000,84.5560,2.0249,0.4392,2.1982
1844.0400,1.0000,115.9655,4.0000,85.3280,1.9772,0.4397,2.1973
1844.1924,1.0000,116.9528,4.0000,85.3280,1.9296,0.4338,2.2014
1844.3448,1.0000,117.2353,4.0000,88.7670,1.8820,0.4327,2.1975
1844.4972,1.0000,117.0182,4.0000,95.3030,1.8344,0.4351,2.1918
1844.6496,1.0000,107.8777,4.0000,99.5800,1.7868,0.4053,2.1845
1844.8020,1.0000,102.9065,4.0000,98.9440,1.7148,0.3923,2.1707
1844.9544,1.0000,101.0502,4.0000,95.9850,1.6428,0.3949,2.1549
1845.1068,1.0000,100.9611,4.0000,95.5310,1.5708,0.4047,2.1429
1845.2592,1.0000,101.7520,4.0000,95.5720,1.7942,0.4262,2.1392
1845.4116,1.0000,92.7107,4.0000,94.8400,1.7076,0.4457,2.1311
1845.5640,1.0000,89.1810,4.0000,95.6640,1.6614,0.4503,2.1251
1845.7164,1.0000,90.2638,4.0000,96.2870,1.6595,0.4463,2.0898
1845.8688,1.0000,91.7730,4.0000,95.8070,1.6681,0.4419,2.0590
1846.0212,1.0000,94.4390,4.0000,93.0830,1.6647,0.4365,2.0617
1846.1736,0.0000,98.1178,4.0000,89.0260,1.6374,0.4340,2.0657
1846.3260,0.0000,99.4665,4.0000,89.6030,1.6021,0.4355,2.0660
1846.4784,0.0000,99.8135,4.0000,93.2290,1.5705,0.4317,2.0654
1846.6308,0.0000,100.1600,4.0000,92.4820,1.5509,0.4153,2.0496
1846.7832,0.0000,100.2633,4.0000,92.8350,1.5372,0.3906,2.0244
1846.9356,0.0000,99.0118,4.0000,95.0900,1.5308,0.3786,2.0260
1847.0880,0.0000,97.4889,4.0000,94.8980,1.5485,0.3883,2.0284
1847.2404,0.0000,97.0334,4.0000,93.7210,1.5858,0.4006,2.0444
1847.3928,0.0000,102.5791,4.0000,94.5880,1.6254,0.4113,2.0830
1847.5452,0.0000,113.5909,4.0000,93.6870,1.6551,0.4285,2.1115
1847.6976,0.0000,123.3591,4.0000,90.1640,1.6714,0.4425,2.1282
1847.8500,0.0000,126.9736,4.0000,89.3840,1.6836,0.4452,2.1608
1848.0024,0.0000,128.6566,4.0000,90.5020,1.6974,0.4485,2.1767
1848.1548,0.0000,130.1162,4.0000,90.9020,1.7146,0.4464,2.2033
1848.3072,0.0000,129.6045,4.0000,91.5370,1.7331,0.4392,2.2217
1848.4596,0.0000,123.7015,4.0000,90.3830,1.7839,0.4185,2.2274
1848.6120,0.0000,111.8460,4.0000,87.7840,1.9117,0.4217,2.2289
1848.7644,0.0000,98.8279,4.0000,82.1510,2.0862,0.4254,2.2066
1848.9168,0.0000,91.0874,4.0000,75.7940,2.2667,0.4201,2.1770
1849.0692,0.0000,87.5712,4.0000,73.2320,2.4365,0.4075,2.1634
1849.2216,0.0000,88.1204,4.0000,69.1590,2.5966,0.3558,2.1552
1849.3740,0.0000,88.5702,4.0000,62.7000,2.7307,0.3353,2.1598
1849.5264,0.0000,89.0778,4.0000,58.5980,2.7424,0.2968,2.1718
1849.6788,0.0000,91.1835,3.0000,54.8370,2.5966,0.2880,2.1624
1849.8312,0.0000,93.4404,3.0000,48.2740,2.3838,0.2700,2.1405
1849.9836,0.0000,93.6788,2.0000,42.0190,2.2252,0.2600,2.1254
